yearOfBirth;householdIncome;workerId;hitCreationDate;gender;date;householdSize;maritalStatus
1988;$25,000-$39,999;0e71a3188fd0dc3372064b0ecc954d93;2016-11-21T16:40:15.000Z;male;2016-11-21T16:43:04.737Z;3;married
1996;$15,000-$24,999;854923874a7772a6087f0c29d551a9de;2016-11-21T16:25:16.000Z;female;2016-11-21T16:39:28.761Z;3;single
1982;$25,000-$39,999;bffed80dae6f90673cbcd4cb99ba000c;2016-11-21T15:40:16.000Z;female;2016-11-21T16:29:44.741Z;5+;married
1974;$40,000-$59,999;c61be8b30ddad7182173b9f7140785a7;2016-11-21T15:55:17.000Z;male;2016-11-21T16:15:01.699Z;3;single
1980;$40,000-$59,999;6f4b1a20596358972fd4ab2a84ec0c86;2016-11-21T16:10:13.000Z;male;2016-11-21T16:11:27.267Z;2;cohabitating
1981;$15,000-$24,999;5e3a443dc30760f092388a3a0917e0b6;2016-11-21T15:25:18.000Z;female;2016-11-21T15:36:58.040Z;2;married
1961;$60,000-$74,999;b0f986d0a54b1db228ca49b7d0148b9f;;female;2016-11-21T15:18:41.423Z;5+;married
1961;$60,000-$74,999;b0f986d0a54b1db228ca49b7d0148b9f;2016-11-21T15:10:18.000Z;female;2016-11-21T15:18:40.422Z;5+;married
1988;$75,000-$99,999;11de984678ae46b55de9a5a5f9600a01;2016-11-21T14:40:20.000Z;female;2016-11-21T15:09:09.341Z;5+;married
1980;$75,000-$99,999;fc37962a37dcd5eb5f7110915d69eb1c;2016-11-21T14:55:17.000Z;female;2016-11-21T15:03:18.185Z;3;married
1981;$60,000-$74,999;54d16ab5e9a65b9001ff1597be69db3b;2016-11-21T12:40:13.000Z;female;2016-11-21T15:02:50.239Z;4;married
1972;$100,000 or more;4a3a51b05213aaa8f7244956108311c0;2016-11-21T14:25:18.000Z;female;2016-11-21T14:56:16.465Z;5+;married
1984;$15,000-$24,999;39684c154f3d0ef9868825abd03263b0;2016-11-21T14:10:18.000Z;female;2016-11-21T14:18:35.182Z;3;married
