;gender;date;hitCreationDate;householdIncome;householdSize;locationCity;locationCountry;locationRegion;maritalStatus;postToCompletionSecs;workerId;yearOfBirth
1;male;2020-10-31 09:20:06.303;2020-10-31 09:18:00.000;$75,000-$99,999;5+;nagercoil;IN;tn;single;126;a8dc59ede670806d50921448f353daf8;1996
2;female;2020-10-31 09:05:52.654;2020-10-31 09:03:01.000;$25,000-$39,999;2;st. louis;US;mo;cohabitating;171;7073f0b49d9081064fbbd4921a54df0b;1972
3;female;2020-10-31 08:59:14.727;2020-10-31 07:48:00.000;Less than $10,000;1;porto alegre;BR;rs;single;4274;0ac1d80c558377ee41e854290e87b10e;1999
4;female;2020-10-31 08:55:05.752;2020-10-31 08:48:01.000;$40,000-$59,999;3;chennai;IN;tn;single;424;8f8ac6136e51afe4cf0c28fc70268e57;1995
5;female;2020-10-31 08:38:41.705;2020-10-31 08:33:07.000;$75,000-$99,999;4;pueblo;US;co;married;334;a1d3418861d39b491ff8defb76b416ed;1982
6;male;2020-10-31 08:24:12.131;2020-10-31 08:18:01.000;$15,000-$24,999;5+;lafollette;US;tn;married;371;04253395b25a88235ac195ff27676200;1970
7;male;2020-10-31 08:17:38.390;2020-10-31 08:03:01.000;$25,000-$39,999;4;coshocton;US;oh;married;877;16e104b4fe49e8b6651c49c03898e887;1984
8;female;2020-10-31 08:12:45.174;2020-10-31 07:33:00.000;$60,000-$74,999;4;portland;US;me;married;2385;4858876f2d73b2f51a71870f378b12b1;1978
9;male;2020-10-31 08:08:16.155;2020-10-31 06:03:00.000;$40,000-$59,999;4;chennai;IN;tn;single;7516;ffb5278224ffcf4370ab98282060323a;1990
10;female;2020-10-31 08:06:14.764;2020-10-31 07:18:01.000;$40,000-$59,999;2;jacksonville;US;fl;married;2893;411d9aebfbb38e67a3263ec4e8807e6c;1986
11;male;2020-10-31 07:07:18.085;2020-10-31 07:03:00.000;$40,000-$59,999;3;broken arrow;US;ok;single;258;1faad3a501f9b8f2c7a962780d6c47f4;1994
12;female;2020-10-31 06:49:56.007;2020-10-31 06:48:00.000;Less than $10,000;2;bengaluru;IN;ka;married;116;c1f36902bb43cf0d8a576013c90c1cab;1976
13;male;2020-10-31 06:41:31.663;2020-10-31 06:33:01.000;$100,000 or more;3;brampton;CA;on;single;510;be52bcd4fdbbe8a89b99360dc75b88c6;1995
14;male;2020-10-31 06:34:30.185;2020-10-31 06:18:01.000;$100,000 or more;5+;troutdale;US;or;single;989;af0e2f33a9e4cb187c22f468edc5a19f;1999
15;male;2020-10-31 05:54:52.195;2020-10-31 05:48:00.000;$40,000-$59,999;5+;portland;US;me;married;412;1a6a713eb9ed42749a9f845a93762a5f;1958
16;male;2020-10-31 05:37:41.740;2020-10-31 05:33:01.000;Less than $10,000;3;chennai;IN;tn;married;280;1f74deb620c678ecc5e48c262a3af343;1984
17;male;2020-10-31 05:35:27.751;2020-10-31 04:48:00.000;$10,000-$14,999;2;chennai;IN;tn;married;2847;b86069248f3c063489c2e93a78fd306a;1988
18;female;2020-10-31 05:20:09.780;2020-10-31 05:03:10.000;$100,000 or more;5+;west liberty;US;ia;married;1019;dc2521127e4dd03d59fd4fd2fa181709;1980
19;male;2020-10-31 05:20:03.406;2020-10-31 05:18:01.000;$60,000-$74,999;1;los angeles;US;ca;single;122;aea975d563fccc8b7fc2c3f6666a4385;1998
20;male;2020-10-31 04:39:46.652;2020-10-31 04:33:00.000;$40,000-$59,999;4;monroeville;US;pa;married;406;792a590f5b6c0d08750e0fa75adf0980;1970
21;female;2020-10-31 04:22:14.364;2020-10-31 04:18:01.000;$40,000-$59,999;3;aurora;US;oh;married;253;ec7b9876fce7a2e6a4a2b1e6f42f91e0;1954
22;male;2020-10-31 04:12:05.114;2020-10-31 03:48:00.000;$40,000-$59,999;3;reston;US;va;married;1445;5172fef54ed9566ce95c810c83510229;1961
23;female;2020-10-31 04:06:09.925;2020-10-31 04:03:01.000;$40,000-$59,999;2;rock hill;US;sc;married;188;61cb9cd646f28cefcf6a279162c3eee4;1947
