requester,reward
Research Rewards,0.02
James Billings,0.05
Hotel Photos,0.07
Company,0.01
mayu otani,0.05
Amazon Requester Inc. - Retail Business Services,0.10
MLDataLabeler,0.03
Tweet_classification,0.01
Amazon Requester Inc. - Retail Business Services,0.10
QA Research,0.10
Crowdsurf Support,0.07
VacationRentalAPI,7.50
Danna,0.06
zhou yu,0.05
Shopping Receipts,0.10
zhou yu,0.05
MLDataLabeler,0.04
Danna,0.06
Thierry Deruyttere,0.10
Thierry Deruyttere,0.10
Thierry Deruyttere,0.12
VacationRentalAPI,7.50
Thierry Deruyttere,0.10
VacationRentalAPI CA,7.50
zhou yu,0.05
VacationRentalAPI,7.50
str11223344,0.08
CopyText Inc.,0.01
ML Researcher,0.22
VacationRentalAPI,7.50
Shopping Receipts,0.03
VacationRentalAPI,2.00
str11223344,0.08
VacationRentalAPI,2.00
Shanae Burns,0.20
VacationRentalAPI,2.00
VacationRentalAPI,7.50
Shopping Receipts,0.01
Shopping Receipts,0.04
Pico,0.02
jw2000kg,0.03
Shopping Receipts,0.09
Shopping Receipts,0.06
VacationRentalAPI,7.50
VacationRentalAPI,7.50
VacationRentalAPI,7.50
mturk-b2c-prod,0.05
VacationRentalAPI,7.50
Shopping Receipts,0.01
Shopping Receipts,0.11
kgcvaws,0.20
Shopping Receipts,0.05
VacationRentalAPI,6.00
VacationRentalAPI,7.50
VacationRentalAPI CA,7.50
VacationRentalAPI,3.15
VacationRentalAPI,7.50
VacationRentalAPI,2.00
VacationRentalAPI,2.00
VacationRentalAPI,6.00
42matters,0.02
VacationRentalAPI,2.00
VacationRentalAPI,2.00
VacationRentalAPI CA,4.90
str11223344,0.08
SISC Lab,1.66
str11223344,0.08
Jwala Dhamala,0.06
VacationRentalAPI,4.90
str11223344,0.08
PFT,0.05
VacationRentalAPI,4.00
TCKR,0.01
str11223344,0.08
VacationRentalAPI,2.50
VacationRentalAPI,2.50
VacationRentalAPI,3.15
VacationRentalAPI,4.90
VacationRentalAPI,2.00
VacationRentalAPI,3.15
zyft,0.04
VacationRentalAPI,2.50
Shopping Receipts,0.07
VacationRentalAPI,4.90
VacationRentalAPI,2.50
VacationRentalAPI,2.00
TeamZ,0.08
Shopping Receipts,0.02
Fia Fu,0.70
VacationRentalAPI,3.15
VacationRentalAPI,4.00
VacationRentalAPI,3.15
str11223344,0.08
VacationRentalAPI,4.00
str11223344,0.08
VacationRentalAPI,2.50
str11223344,0.08
VacationRentalAPI,2.00
VacationRentalAPI,4.00
VacationRentalAPI,2.50
str11223344,0.08
VacationRentalAPI,2.50
VacationRentalAPI,2.00
VacationRentalAPI,4.00
Shopping Receipts,0.16
VacationRentalAPI,4.00
VacationRentalAPI,3.15
VacationRentalAPI,2.50
VacationRentalAPI,2.00
VacationRentalAPI,2.00
Shopping Receipts,0.07
VacationRentalAPI CA,7.50
str11223344,0.08
Harry S Freeman,3.50
VacationRentalAPI,6.00
VacationRentalAPI,2.00
VacationRentalAPI CA,7.50
VacationRentalAPI,6.00
VacationRentalAPI,2.50
VacationRentalAPI,3.15
VacationRentalAPI,3.15
VacationRentalAPI,3.15
VacationRentalAPI,2.50
Shopping Receipts,0.10
Jocelyn Belanger,1.00
VacationRentalAPI CA,7.50
Shopping Receipts,0.12
Whitney,3.00
VacationRentalAPI,4.90
VacationRentalAPI CA,7.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
Maria Maistro,0.45
VacationRentalAPI,6.00
VacationRentalAPI,2.50
VacationRentalAPI CA,7.50
VacationRentalAPI,4.90
str11223344,0.08
Shopping Receipts,0.11
VacationRentalAPI CA,4.00
str11223344,0.08
Jwala Dhamala,0.06
Affective Science & Health Laboratory,1.50
VacationRentalAPI CA,7.50
CrowdPower Inc,1.20
VacationRentalAPI,4.90
Shopping Receipts,0.02
VacationRentalAPI,3.15
str11223344,0.08
VacationRentalAPI,4.00
Affective Science & Health Laboratory,1.50
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI,4.00
Steve Discont - IIT Psychology,2.25
VacationRentalAPI CA,4.90
VacationRentalAPI,6.00
VacationRentalAPI,4.90
Rammy Salem,1.25
VacationRentalAPI,4.90
xyzkim,0.50
VacationRentalAPI CA,2.00
MLDataLabeler,0.03
LDWE,1.00
VacationRentalAPI,6.00
VacationRentalAPI CA,7.50
VacationRentalAPI,2.50
Shopping Receipts,0.26
VacationRentalAPI CA,7.50
VacationRentalAPI CA,7.50
NoodleMedia,0.25
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
